Area_profesional;Puesto;Sector;Tipo_rango;Zona;Valor;Dolar_Promedio_Mes
dirección.;Director de Operaciones;Banca & Serv Financieros;Max;NEA;$15.476.159;1284
dirección.;Director de Operaciones;Consumo masivo;Min;NEA;$8.647.077;1284
dirección.;Director de Operaciones;Consumo masivo;Max;NEA;$11.422.060;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Min;NEA;$9.727.963;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Max;NEA;$15.476.159;1284
dirección.;Director de Operaciones;IT;Min;NEA;$9.727.963;1284
dirección.;Director de Operaciones;IT;Max;NEA;$15.476.159;1284
dirección.;Director de Operaciones;Lab & Pharma;Min;NEA;$9.727.963;1284
dirección.;Director de Operaciones;Lab & Pharma;Max;NEA;$15.476.159;1284
dirección.;Director de Operaciones;Manufactura;Min;NEA;$9.297.932;1284
dirección.;Director de Operaciones;Manufactura;Max;NEA;$15.071.104;1284
dirección.;Director de Operaciones;Retail & Comercio;Min;NEA;$8.647.028;1284
dirección.;Director de Operaciones;Retail & Comercio;Max;NEA;$11.422.071;1284
dirección.;Director de Operaciones;Servicios;Min;NEA;$8.647.028;1284
dirección.;Director de Operaciones;Servicios;Max;NEA;$11.422.071;1284
dirección.;Director de Operaciones;Transporte y logística;Min;NEA;$8.214.677;1284
dirección.;Director de Operaciones;Transporte y logística;Max;NEA;$10.850.967;1284
dirección.;Director de Operaciones;Automotriz;Min;NOA;$9.579.688;1284
dirección.;Director de Operaciones;Automotriz;Max;NOA;$15.527.804;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Min;NOA;$10.022.750;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Max;NOA;$15.945.133;1284
dirección.;Director de Operaciones;Consumo masivo;Min;NOA;$8.909.110;1284
dirección.;Director de Operaciones;Consumo masivo;Max;NOA;$11.768.183;1284
