Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
administración y finanzas.;Controller;Transporte y logística;Max;$8.358.293;$7.355.298;$7.689.629;$6.895.592;$7.104.549;$10.447.866;1284
administración y finanzas.;Gerente de Tesorería;Automotriz;Min;$4.573.790;$4.024.935;$4.207.886;$3.773.376;$3.887.721;$5.717.237;1284
administración y finanzas.;Gerente de Tesorería;Automotriz;Max;$6.090.893;$5.359.986;$5.603.621;$5.024.986;$5.177.259;$7.613.616;1284
administración y finanzas.;Gerente de Tesorería;Banca & Serv Financieros;Min;$5.031.358;$4.427.595;$4.628.850;$4.150.871;$4.276.654;$6.289.198;1284
administración y finanzas.;Gerente de Tesorería;Banca & Serv Financieros;Max;$6.612.969;$5.819.413;$6.083.932;$5.455.700;$5.621.024;$8.266.212;1284
administración y finanzas.;Gerente de Tesorería;Consumo masivo;Min;$4.573.790;$4.024.935;$4.207.886;$3.773.376;$3.887.721;$5.717.237;1284
administración y finanzas.;Gerente de Tesorería;Consumo masivo;Max;$6.090.864;$5.359.960;$5.603.595;$5.024.963;$5.177.235;$7.613.580;1284
administración y finanzas.;Gerente de Tesorería;Gas, Petróleo y Minería;Min;$5.336.088;$4.695.757;$4.909.201;$4.402.272;$4.535.675;$6.670.110;1284
administración y finanzas.;Gerente de Tesorería;Gas, Petróleo y Minería;Max;$6.090.864;$5.359.960;$5.603.595;$5.024.963;$5.177.235;$7.613.580;1284
administración y finanzas.;Gerente de Tesorería;IT;Min;$5.316.062;$4.678.135;$4.890.777;$4.385.751;$4.518.653;$6.645.078;1284
administración y finanzas.;Gerente de Tesorería;IT;Max;$6.612.969;$5.819.413;$6.083.932;$5.455.700;$5.621.024;$8.266.212;1284
administración y finanzas.;Gerente de Tesorería;Lab & Pharma;Min;$5.316.062;$4.678.135;$4.890.777;$4.385.751;$4.518.653;$6.645.078;1284
administración y finanzas.;Gerente de Tesorería;Lab & Pharma;Max;$6.438.944;$5.666.270;$5.923.828;$5.312.129;$5.473.102;$8.048.680;1284
administración y finanzas.;Gerente de Tesorería;Manufactura;Min;$5.031.358;$4.427.595;$4.628.850;$4.150.871;$4.276.654;$6.289.198;1284
administración y finanzas.;Gerente de Tesorería;Manufactura;Max;$6.612.969;$5.819.413;$6.083.932;$5.455.700;$5.621.024;$8.266.212;1284
administración y finanzas.;Gerente de Tesorería;Retail & Comercio;Min;$4.572.493;$4.023.794;$4.206.694;$3.772.307;$3.886.619;$5.715.617;1284
administración y finanzas.;Gerente de Tesorería;Retail & Comercio;Max;$6.090.897;$5.359.989;$5.603.625;$5.024.990;$5.177.262;$7.613.621;1284
